Player,POS_prefix,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,TOT_TDS,FPTS,FPTS_BIN,RECEIVING_REC_BIN,TOT_TDS_BIN
Ja'Marr Chase CIN,WR,1.6,12.7,0.0,120.1,1580.9,12.2,12.2,351.8,350+,120+,10-14
Bijan Robinson ATL,RB,304.8,1421.8,11.4,58.9,447.2,2.2,13.600000000000001,325.0,300-324,50-59,10-14
Saquon Barkley PHI,RB,336.4,1683.6,11.1,43.2,331.1,2.2,13.3,321.5,300-324,40-49,10-14
Jahmyr Gibbs DET,RB,240.2,1240.4,11.7,58.2,511.9,2.8,14.5,317.6,300-324,50-59,10-14
CeeDee Lamb DAL,WR,9.1,58.8,0.3,112.1,1395.2,8.1,8.4,306.1,300-324,110-119,5-9
Justin Jefferson MIN,WR,0.5,2.2,0.0,103.5,1443.3,9.5,9.5,303.7,300-324,100-109,5-9
Christian McCaffrey SF,RB,245.5,1110.9,8.1,64.6,556.9,3.5,11.6,297.5,275-299,60-69,10-14
Malik Nabers NYG,WR,2.6,12.2,0.0,107.0,1343.6,8.3,8.3,291.3,275-299,100-109,5-9
Puka Nacua LAR,WR,10.7,61.4,0.6,103.8,1347.7,6.8,7.3999999999999995,287.8,275-299,100-109,5-9
Amon-Ra St. Brown DET,WR,1.9,12.6,0.1,109.7,1257.8,8.8,8.9,287.8,275-299,100-109,5-9
De'Von Achane MIA,RB,217.9,1014.6,7.6,68.5,505.7,3.9,11.5,286.8,275-299,60-69,10-14
Nico Collins HOU,WR,0.0,1.6,0.0,92.2,1315.2,9.0,9.0,276.7,275-299,90-99,5-9
Brian Thomas Jr. JAC,WR,3.8,24.9,0.0,91.9,1293.9,8.6,8.6,274.5,250-274,90-99,5-9
Derrick Henry BAL,RB,306.2,1554.4,13.7,16.3,153.0,0.9,14.6,272.1,250-274,10-19,10-14
Josh Jacobs GB,RB,291.0,1234.2,11.5,38.0,315.0,1.5,13.0,267.5,250-274,30-39,10-14
Ashton Jeanty LV,RB,272.9,1227.7,9.3,45.9,361.5,1.9,11.200000000000001,267.0,250-274,40-49,10-14
Drake London ATL,WR,0.3,2.0,0.0,95.7,1231.1,8.2,8.2,267.0,250-274,90-99,5-9
Chase Brown CIN,RB,244.7,1033.1,8.4,57.8,406.6,2.8,11.2,266.4,250-274,50-59,10-14
